,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_PUBOFFRDATE,IPO_LEADUNDR,IPO_TYPE,IPO_NPCTCHANGE,IPO_PCTCHANGE,IPO_TURN,IPO_NTURN
002329.SZ,日常消费,中小企业板,否,2010/1/6 0:00,20.1,27000000,27813988.42,2009/12/15 0:00,光大证券股份有限公司,"网下询价,上网定价",6.780250348,43.08457711,72.65861574,3.794127226
002330.SZ,日常消费,中小企业板,否,2010/1/6 0:00,13.18,63000000,31017850,2009/12/15 0:00,民生证券股份有限公司,"网下询价,上网定价",-9.216013344,81.94233687,82.88937897,3.078004599
002331.SZ,信息技术,中小企业板,否,2010/1/6 0:00,27,14000000,33497830,2009/12/15 0:00,国元证券股份有限公司,"网下询价,上网定价",26.7869535,60.11111111,74.61347321,4.006117821
002332.SZ,医疗保健,中小企业板,否,2010/1/12 0:00,8.2,85400000,44224230.59,2009/12/18 0:00,中信建投证券股份有限公司,"网下询价,上网定价",-19.22116825,144.2682927,86.13716481,2.500125885
002333.SZ,工业,中小企业板,否,2010/1/12 0:00,22,39200000,28778000,2009/12/18 0:00,德邦证券股份有限公司,"网下询价,上网定价",-11.45014155,44.5,73.11103316,2.442266226
002334.SZ,工业,中小企业板,否,2010/1/13 0:00,48,16000000,27105300,2009/12/22 0:00,国信证券股份有限公司,"网下询价,上网定价",-0.377742264,43.39583333,82.10526563,3.1251688
002335.SZ,工业,中小企业板,否,2010/1/13 0:00,27.35,19500000,27631500,2009/12/22 0:00,东北证券股份有限公司,"网下询价,上网定价",-8.38650866,60.43875686,81.83637821,2.92920351
002336.SZ,日常消费,中小企业板,否,2010/1/13 0:00,26.98,100000000,131640000,2009/12/22 0:00,安信证券股份有限公司,"网下询价,上网定价",-11.43119828,20.9414381,65.18766,2.203415394
002337.SZ,工业,中小企业板,否,2010/1/15 0:00,31,30000000,33110000,2009/12/25 0:00,渤海证券股份有限公司,"网下询价,上网定价",-20.14635262,41.06451613,72.27160417,1.989341974
002338.SZ,工业,中小企业板,否,2010/1/15 0:00,22,20000000,35232000,2009/12/25 0:00,平安证券股份有限公司,"网下询价,上网定价",-19.67307692,136.3636364,82.7343,3.037671328
002339.SZ,工业,中小企业板,否,2010/1/22 0:00,25,22000000,35382600,2009/12/31 0:00,海通证券股份有限公司,"网下询价,上网定价",-2.288061015,36.36,72.63772159,3.097567081
