,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002329.SZ,日常消费,中小企业板,否,2010,20.1,27000000,27813988.42,光大证券股份有限公司,"网下询价,上网定价",22,43.08457711,72.65861574
002330.SZ,日常消费,中小企业板,否,2010,13.18,63000000,31017850,民生证券股份有限公司,"网下询价,上网定价",22,81.94233687,82.88937897
002331.SZ,信息技术,中小企业板,否,2010,27,14000000,33497830,国元证券股份有限公司,"网下询价,上网定价",22,60.11111111,74.61347321
002332.SZ,医疗保健,中小企业板,否,2010,8.2,85400000,44224230.59,中信建投证券股份有限公司,"网下询价,上网定价",25,144.2682927,86.13716481
002333.SZ,工业,中小企业板,否,2010,22,39200000,28778000,德邦证券股份有限公司,"网下询价,上网定价",25,44.5,73.11103316
002334.SZ,工业,中小企业板,否,2010,48,16000000,27105300,国信证券股份有限公司,"网下询价,上网定价",22,43.39583333,82.10526563
002335.SZ,工业,中小企业板,否,2010,27.35,19500000,27631500,东北证券股份有限公司,"网下询价,上网定价",22,60.43875686,81.83637821
002336.SZ,日常消费,中小企业板,否,2010,26.98,100000000,131640000,安信证券股份有限公司,"网下询价,上网定价",22,20.9414381,65.18766
002337.SZ,工业,中小企业板,否,2010,31,30000000,33110000,渤海证券股份有限公司,"网下询价,上网定价",21,41.06451613,72.27160417
002338.SZ,工业,中小企业板,否,2010,22,20000000,35232000,平安证券股份有限公司,"网下询价,上网定价",21,136.3636364,82.7343
002339.SZ,工业,中小企业板,否,2010,25,22000000,35382600,海通证券股份有限公司,"网下询价,上网定价",22,36.36,72.63772159
002340.SZ,材料,中小企业板,否,2010,32,23330000,43020237.78,中德证券有限责任公司,"网下询价,上网定价",22,77.21875,86.52747998
002341.SZ,材料,中小企业板,否,2010,23,19000000,25917224.38,招商证券股份有限公司,"网下询价,上网定价",22,27.56521739,67.49828947
002342.SZ,工业,中小企业板,否,2010,24,50000000,41902260.09,国信证券股份有限公司,"网下询价,上网定价",21,8.25,55.4050225
002343.SZ,可选消费,中小企业板,是,2010,31,25000000,51149560,平安证券股份有限公司,"网下询价,上网定价",21,25.96774194,74.92365
002344.SZ,房地产,中小企业板,否,2010,20,70000000,55795000,中信证券股份有限公司,"网下询价,上网定价",21,9.8,57.033675
002345.SZ,可选消费,中小企业板,否,2010,33,30000000,48860000,广发证券股份有限公司,"网下询价,上网定价",20,14.57575758,65.14517917
002346.SZ,工业,中小企业板,否,2010,19.9,35000000,48855000,东方证券股份有限公司,"网下询价,上网定价",20,7.537688442,57.82416071
002347.SZ,工业,中小企业板,否,2010,22.5,26000000,25117500,华泰证券股份有限公司,"网下询价,上网定价",20,24.44444444,72.78469231
002348.SZ,可选消费,中小企业板,否,2010,21.98,38000000,52580600,平安证券股份有限公司,"网下询价,上网定价",22,-1.86533212,39.87540789
002349.SZ,医疗保健,中小企业板,否,2010,19.8,20000000,23831000,华泰证券股份有限公司,"网下询价,上网定价",22,27.02020202,77.0932375
002350.SZ,工业,中小企业板,否,2010,24,27000000,46308725.14,平安证券股份有限公司,"网下询价,上网定价",22,40.41666667,84.95224537
002351.SZ,可选消费,中小企业板,否,2010,33.5,37000000,74947200,招商证券股份有限公司,"网下询价,上网定价",21,0.507462687,41.49721284
002352.SZ,工业,中小企业板,是,2010,32,19500000,43149323.14,国元证券股份有限公司,"网下询价,上网定价",21,0.75,42.19577564
002353.SZ,能源,中小企业板,否,2010,59.5,29000000,35913700,广发证券股份有限公司,"网下询价,上网定价",21,12.90756303,76.15171552
002354.SZ,信息技术,中小企业板,是,2010,12.33,23500000,33178850,民生证券股份有限公司,"网下询价,上网定价",21,45.57988646,82.59071277
002355.SZ,可选消费,中小企业板,否,2010,14.5,52600000,56244700,国信证券股份有限公司,"网下询价,上网定价",21,0.689655172,37.39442723
002356.SZ,可选消费,中小企业板,否,2010,36.5,20000000,42704000,招商证券股份有限公司,"网下询价,上网定价",21,-3.315068493,19.93845625
002357.SZ,工业,中小企业板,否,2010,14.97,21000000,27751382.11,东北证券股份有限公司,"网下询价,上网定价",19,33.6005344,80.11595238
002358.SZ,工业,中小企业板,否,2010,26,22000000,24845700,华泰证券股份有限公司,"网下询价,上网定价",19,15.23076923,73.14211364
002359.SZ,工业,中小企业板,否,2010,16.98,27500000,30526500,东海证券股份有限公司,"网下询价,上网定价",19,6.419316843,59.57751364
002360.SZ,材料,中小企业板,否,2010,23.98,15000000,29330513,中德证券有限责任公司,"网下询价,上网定价",29,62.17681401,84.32835833
002361.SZ,材料,中小企业板,否,2010,17,20000000,34130000,平安证券股份有限公司,"网下询价,上网定价",29,66.70588235,85.47486875
002362.SZ,信息技术,中小企业板,否,2010,41.9,27000000,55299800,中德证券有限责任公司,"网下询价,上网定价",29,95.96658711,85.59090741
002363.SZ,可选消费,中小企业板,否,2010,18,30000000,31040000,民生证券股份有限公司,"网下询价,上网定价",28,46.55555556,77.80675833
002364.SZ,工业,中小企业板,否,2010,22.35,16800000,28516429.86,华泰联合证券有限责任公司,"网下询价,上网定价",28,116.5548098,89.43723214
002365.SZ,医疗保健,中小企业板,否,2010,31,23500000,41848500,国信证券股份有限公司,"网下询价,上网定价",28,40.48387097,73.21601064
002366.SZ,工业,中小企业板,是,2010,15,33500000,39064500,西南证券股份有限公司,"网下询价,上网定价",30,85.46666667,88.92871642
002367.SZ,工业,中小企业板,否,2010,27.1,33500000,65181767,东吴证券股份有限公司,"网下询价,上网定价",30,34.79704797,80.69970522
002368.SZ,信息技术,中小企业板,否,2010,29,25000000,53950800,招商证券股份有限公司,"网下询价,上网定价",30,107.6206897,84.392515
002369.SZ,信息技术,中小企业板,否,2010,22.58,25000000,34235000,申万宏源证券有限公司,"网下询价,上网定价",21,34.63241807,74.642755
002370.SZ,医疗保健,中小企业板,否,2010,16,30000000,37998794.74,东方证券股份有限公司,"网下询价,上网定价",21,35.6875,68.1282875
002371.SZ,信息技术,中小企业板,否,2010,33,16560000,29842304.4,中信建投证券股份有限公司,"网下询价,上网定价",21,78.78787879,83.58805857
